ItemID,Sound1,Sound2,ExpAns,type
1,FAS_E5M-BKBR-01-01.wav,FAS_E1M-BKBR-01-01.wav,j,EE
2,FAS_E1M-BKBR-01-02.wav,FAS_E5M-BKBR-01-02.wav,j,EE
3,FAS_E5M-BKBR-01-03.wav,FAS_E1M-BKBR-01-03.wav,j,EE
4,FAS_E5M-BKBR-01-04.wav,FAS_E1M-BKBR-01-04.wav,j,EE
5,FAS_E1M-BKBR-01-05.wav,FAS_E5M-BKBR-01-05.wav,j,EE
6,FAS_E5M-BKBR-01-06.wav,FAS_E1M-BKBR-01-06.wav,j,EE
7,FAS_E5M-BKBR-01-07.wav,FAS_E1M-BKBR-01-07.wav,j,EE
8,FAS_E5M-BKBR-01-08.wav,FAS_E1M-BKBR-01-08.wav,j,EE
9,FAS_E1M-BKBR-01-09.wav,FAS_E5M-BKBR-01-09.wav,j,EE
10,FAS_E1M-BKBR-01-10.wav,FAS_E5M-BKBR-01-10.wav,j,EE
11,FAS_E5M-BKBR-01-11.wav,FAS_E1M-BKBR-01-11.wav,j,EE
12,FAS_E1M-BKBR-01-12.wav,FAS_E5M-BKBR-01-12.wav,j,EE
13,FAS_E5M-BKBR-01-13.wav,FAS_E1M-BKBR-01-13.wav,j,EE
14,FAS_E1M-BKBR-01-14.wav,FAS_E5M-BKBR-01-14.wav,j,EE
15,FAS_E5M-BKBR-01-15.wav,FAS_E1M-BKBR-01-15.wav,j,EE
16,FAS_E5M-BKBR-01-16.wav,FAS_E1M-BKBR-01-16.wav,j,EE
17,FAS_E1M-BKBR-01-01.wav,FAS_M6M-BKBR-01-01.wav,f,EM
18,FAS_E1M-BKBR-01-02.wav,FAS_M6M-BKBR-01-02.wav,f,EM
19,FAS_E1M-BKBR-01-03.wav,FAS_M6M-BKBR-01-03.wav,f,EM
20,FAS_M6M-BKBR-01-04.wav,FAS_E1M-BKBR-01-04.wav,f,EM
21,FAS_M6M-BKBR-01-05.wav,FAS_E1M-BKBR-01-05.wav,f,EM
22,FAS_E1M-BKBR-01-06.wav,FAS_M6M-BKBR-01-06.wav,f,EM
23,FAS_E1M-BKBR-01-07.wav,FAS_M6M-BKBR-01-07.wav,f,EM
24,FAS_M6M-BKBR-01-08.wav,FAS_E1M-BKBR-01-08.wav,f,EM
25,FAS_M6M-BKBR-01-09.wav,FAS_E1M-BKBR-01-09.wav,f,EM
26,FAS_M6M-BKBR-01-10.wav,FAS_E1M-BKBR-01-10.wav,f,EM
27,FAS_E1M-BKBR-01-11.wav,FAS_M6M-BKBR-01-11.wav,f,EM
28,FAS_E1M-BKBR-01-12.wav,FAS_M6M-BKBR-01-12.wav,f,EM
29,FAS_M6M-BKBR-01-13.wav,FAS_E1M-BKBR-01-13.wav,f,EM
30,FAS_E1M-BKBR-01-14.wav,FAS_M6M-BKBR-01-14.wav,f,EM
31,FAS_E1M-BKBR-01-15.wav,FAS_M6M-BKBR-01-15.wav,f,EM
32,FAS_M6M-BKBR-01-16.wav,FAS_E1M-BKBR-01-16.wav,f,EM
33,FAS_E5M-BKBR-01-01.wav,FAS_M1M-BKBR-01-01.wav,f,EM
34,FAS_E5M-BKBR-01-02.wav,FAS_M1M-BKBR-01-02.wav,f,EM
35,FAS_M1M-BKBR-01-03.wav,FAS_E5M-BKBR-01-03.wav,f,EM
36,FAS_M1M-BKBR-01-04.wav,FAS_E5M-BKBR-01-04.wav,f,EM
37,FAS_E5M-BKBR-01-05.wav,FAS_M1M-BKBR-01-05.wav,f,EM
38,FAS_M1M-BKBR-01-06.wav,FAS_E5M-BKBR-01-06.wav,f,EM
39,FAS_M1M-BKBR-01-07.wav,FAS_E5M-BKBR-01-07.wav,f,EM
40,FAS_M1M-BKBR-01-08.wav,FAS_E5M-BKBR-01-08.wav,f,EM
41,FAS_E5M-BKBR-01-09.wav,FAS_M1M-BKBR-01-09.wav,f,EM
42,FAS_E5M-BKBR-01-10.wav,FAS_M1M-BKBR-01-10.wav,f,EM
43,FAS_E5M-BKBR-01-11.wav,FAS_M1M-BKBR-01-11.wav,f,EM
44,FAS_M1M-BKBR-01-12.wav,FAS_E5M-BKBR-01-12.wav,f,EM
45,FAS_E5M-BKBR-01-13.wav,FAS_M1M-BKBR-01-13.wav,f,EM
46,FAS_M1M-BKBR-01-14.wav,FAS_E5M-BKBR-01-14.wav,f,EM
47,FAS_M1M-BKBR-01-15.wav,FAS_E5M-BKBR-01-15.wav,f,EM
48,FAS_E5M-BKBR-01-16.wav,FAS_M1M-BKBR-01-16.wav,f,EM
49,FAS_M6M-BKBR-01-01.wav,FAS_M1M-BKBR-01-01.wav,j,MM
50,FAS_M1M-BKBR-01-02.wav,FAS_M6M-BKBR-01-02.wav,j,MM
51,FAS_M6M-BKBR-01-03.wav,FAS_M1M-BKBR-01-03.wav,j,MM
52,FAS_M1M-BKBR-01-04.wav,FAS_M6M-BKBR-01-04.wav,j,MM
53,FAS_M6M-BKBR-01-05.wav,FAS_M1M-BKBR-01-05.wav,j,MM
54,FAS_M6M-BKBR-01-06.wav,FAS_M1M-BKBR-01-06.wav,j,MM
55,FAS_M6M-BKBR-01-07.wav,FAS_M1M-BKBR-01-07.wav,j,MM
56,FAS_M1M-BKBR-01-08.wav,FAS_M6M-BKBR-01-08.wav,j,MM
57,FAS_M1M-BKBR-01-09.wav,FAS_M6M-BKBR-01-09.wav,j,MM
58,FAS_M6M-BKBR-01-10.wav,FAS_M1M-BKBR-01-10.wav,j,MM
59,FAS_M1M-BKBR-01-11.wav,FAS_M6M-BKBR-01-11.wav,j,MM
60,FAS_M6M-BKBR-01-12.wav,FAS_M1M-BKBR-01-12.wav,j,MM
61,FAS_M1M-BKBR-01-13.wav,FAS_M6M-BKBR-01-13.wav,j,MM
62,FAS_M6M-BKBR-01-14.wav,FAS_M1M-BKBR-01-14.wav,j,MM
63,FAS_M6M-BKBR-01-15.wav,FAS_M1M-BKBR-01-15.wav,j,MM
64,FAS_M1M-BKBR-01-16.wav,FAS_M6M-BKBR-01-16.wav,j,MM