ItemID,Sound1,Sound2,ExpAns
1,stimuli/FAS_E5M-BKBR-00-01.wav,stimuli/FAS_E1M-BKBR-00-01.wav,j
2,stimuli/FAS_E1M-BKBR-00-02.wav,stimuli/FAS_E5M-BKBR-00-02.wav,j
3,stimuli/FAS_E1M-BKBR-00-03.wav,stimuli/FAS_E5M-BKBR-00-03.wav,j
4,stimuli/FAS_E1M-BKBR-00-01.wav,stimuli/FAS_M6M-BKBR-00-01.wav,f
5,stimuli/FAS_M6M-BKBR-00-02.wav,stimuli/FAS_E1M-BKBR-00-02.wav,f
6,stimuli/FAS_E1M-BKBR-00-03.wav,stimuli/FAS_M6M-BKBR-00-03.wav,f
7,stimuli/FAS_M1M-BKBR-00-01.wav,stimuli/FAS_M6M-BKBR-00-01.wav,j
8,stimuli/FAS_M6M-BKBR-00-02.wav,stimuli/FAS_M1M-BKBR-00-02.wav,j
9,stimuli/FAS_M6M-BKBR-00-03.wav,stimuli/FAS_M1M-BKBR-00-03.wav,j
10,stimuli/FAS_E5M-BKBR-00-01.wav,stimuli/FAS_M6M-BKBR-00-01.wav,f
11,stimuli/FAS_E5M-BKBR-00-02.wav,stimuli/FAS_M6M-BKBR-00-02.wav,f
12,stimuli/FAS_M6M-BKBR-00-03.wav,stimuli/FAS_E5M-BKBR-00-03.wav,f